title,created,created_year_month,profile_visits,impressions,follows,accounts_reached,saves,likes,comments,shares
"about 4 years ago, one of the organizers of @encircletogether came to my gender & family class at @byu 
being raised in an extremely conservative household, this womans visit was pivotal in the beginnings of my understanding that a persons sexual orientation and gender identity are not a choice but loving unconditionally is
beyond that, identifying as lgbtq+ is not a flaw or a problem to be solved
so, thank you encircle for providing a safe space for lgbtq+ youth and young adults in utah and for teaching me what it means to truly love one another 
please consider donating to (or sharing) the  fundraiser that i am hosting this month so that we can meet (and exceed!) our goal and help support lgbtq+ youth in utah ",2022-06-01T11:13:48,2022-06,27,1504,4,1414,2,45,4,4
"@letstalkaboutconsent @chanel_miller 
things are particularly tough right now, on top of whatever trauma we are already processing. 
but we are going to get through this. we have to. 
do what you can to hold space for yourself as you process everything. ",2022-05-30T17:27:20,2022-05,8,963,0,921,15,70,2,12
"resharing a favorite from @cliterallythebest 

did you know? vagina refers to the canal that leads to the cervix and uterus; the vagina is often confused for the vulva, but the vagina is only one small part of it.",2022-05-21T10:05:25,2022-05,77,4601,16,4275,46,240,8,55
why do you follow @consent_is_respect ? comment below (and for bonus points tag a friend ),2022-05-14T19:57:16,2022-05,19,892,4,786,1,50,29,0
"@whiteribbonscot 
violence against women, men, trans people, non-binary people, childrenviolence against any and all people is a mental health issue*
*and a public health issue and a social issue and a financial issue and",2022-05-13T08:48:35,2022-05,18,1147,2,1095,18,117,4,11
" from @ski.esthelimit 

women*, in particular, are so often expected to be nice to everyone, even people who make them uncomfortable/harass them, etc.at least within western culture. 
if we arent nice in the expected way, we are rude but if we are then we are asking for it when we follow the socially-prescribed script of being nice to people who make us feel unsafe (or anyone, really). 
is it important to be a kind human? absolutely. but being kind should not cost us our safety. 
safety > being nice 
*women truncates the various unique experiences of women from different social locations; i acknowledge that women are not a monolith. for example, black women are often stereotyped as being angry and asian women are often stereotyped as being meek and submissive. these stereotypes are harmful and racist.

**do men get harassed, too? totallyall harassment experiences are valid and unacceptable, regardless of gender.",2022-05-10T12:59:16,2022-05,4,1302,0,1185,24,111,2,18
"@rcasa1986 
thank you to the male survivors/victims, such as @terrycrews , working to normalize vocalizing abuse experiences that are so often marginalized and invalidated. 

what happened to you is completely unacceptable and horrific. but your pain is valid. i see you. ",2022-05-07T16:22:45,2022-05,103,8865,22,8598,206,829,4,161
"telling women (and uterus-owners) to just not have sex if they dont want to be pregnant ignores the occurrence of:
reproductive coercion
stealthing
sexual coercion 
s* xual assault
domestic violence
sexual abuse 
child abuse
other forms of oppression and abuse 

 stop oversimplifying complex issues ",2022-05-03T21:30:41,2022-05,49,3690,8,3493,117,482,10,187
"for those attending @utk who have experienced sexual assault of any kind, at any point in time

**passing along the following message from the university (i am just sharing the info and did not conceptualize the group)**

sexual assault survivor support group, every wednesday evening. the group is designed to provide a confidential community for students to feel safe, find support, and connect with others. 

the group will meet weekly and is open to all ut students who identify as victims or survivors of sexual assault. questions can be directed to the counselor training clinic at ctc@utk.edu. 

**dm me for additional details",2022-04-29T12:02:55,2022-04,8,1063,0,1036,0,42,2,1
"@safebaewhhs 
research shows that sexual violence has so many negative consequences including mental, physical, and sexual health (to name a few).

**research references available upon request",2022-04-28T11:12:23,2022-04,15,1078,2,1044,14,167,2,42
"donning denim today? drop a  below. not wearing denim? tag a friend who is  

**see  to learn about the origins of ",2022-04-27T14:13:59,2022-04,21,1087,2,1038,3,104,5,36
"denim day is april 27
history of  at ",2022-04-27T10:50:37,2022-04,102,2993,8,2863,31,245,2,196
"@ecsu_titleix 
i am sick this week so i will be vicariously wearing denim through you all on denim day  drop a below if you plan on wearing your denim with a purpose tomorrow!!",2022-04-26T19:23:59,2022-04,1644,22589,268,21509,707,3624,23,7063
" from @endrapeoncampus 
**cw: rape
",2022-04-23T14:57:21,2022-04,24,1856,4,1749,29,164,10,46
">>correction to research below<<

research has shown that 

a) comprehensive sex ed can have a host of empirically-proven benefits, including discussions of consent and other skills needed for healthy and consensual relationships down the road

>> correction (double checked and didnt find research that associated abstinence ed with increased sexual activity)

b) abstinence-based sex ed is associated with increased risk of pregnancy, and stis 

**sources available upon request",2022-04-13T20:51:10,2022-04,21,1642,6,1541,16,133,7,74
my message to sexual assault survivors/victims during sexual assault awareness month  you are loved,2022-04-03T10:57:31,2022-04,329,8949,106,8451,162,741,9,712
"kick off sexual assault awareness month by supporting an organization that provides services to survivors and works to prevent sexual violence @rainn ! 

no amount is too small  as always, both shares and financial contributions are appreciated ",2022-04-01T19:25:33,2022-04,700,14780,180,13771,305,1736,13,2423
"@every2min 
instead of focusing on what you *didnt* do, focus on what you *can* do to eradicate assault and harassment. it is everyones issue.",2022-03-23T19:30:46,2022-03,30,2740,18,2584,45,179,2,55
" is just around the corner. comment below what you hope to see on this account next month (you can also dm me if you don't want to comment publicly!) 

**note: obviously i cannot fulfill every request. however, i'm happy to receive suggestions and ideas for possible posts.",2022-03-22T12:53:24,2022-03,15,926,4,904,0,61,14,6
"@mtmvcommunity 
what would you add?

**keep in mind that each survivor is different and will likely have different needs",2022-03-21T20:14:04,2022-03,23,976,8,928,42,109,2,72
"although this statement is made within a cishetero lens specifically to a christian audience, i love the perspective that our choices should reflect the understanding that we are responsible for controlling ourselves; not for attempting to control others. 

in my opinion, telling (generally speaking) young women that they need to dress a certain way to protect young men is expecting them to do the impossible: control someone elses behavior. 

this expectation is not only based off of incorrect and cisheteropatriarchal ideas (e.g., boys cant control themselves, girls are responsible for boys behavior) but also unfair, considering not even adults control another human beingjust ask someone who has kids 

lets start teaching all youth to be responsible for their own actions and to be kind and respectful to all, regardless of whether they perceive someone to be dressed or behaving inappropriately.",2022-02-16T18:53:25,2022-02,9,1165,0,1121,10,85,6,15
"@thefemalesex 
this ",2022-02-09T17:52:41,2022-02,36,1915,14,1860,60,201,9,117
"@nsvrc 
yesi suggest that these service providers should also:
a) look for existing information about these resources, rather than expecting to be personally educated by members of these communities
b) appropriately credit, share authorship, and/or compensate (etc.) members of these communities who do agree to educate said service providers in order to 
c) acknowledge the often invisible emotional labor of members of various bipoc communities (particularly folx racialized as black)
d) consider how their own positionalities (racialized identity, gender identity, orientation, etc.) inform the differences in their own experiences and those of survivors from other positionalities 

what recommendations would you add? comment below 

account positionality: i acknowledge that i am a privileged cisgender woman racialized as white and that these identities inform my bias",2022-02-04T14:51:01,2022-02,3,502,2,468,1,34,1,3
"even if you think you have an amazing pull out game, the human body does not careany direct contact between penis and vagina (including soaking or just the tip) can result in pregnancy or stis",2022-02-03T20:11:40,2022-02,5,834,0,816,4,73,13,6
"instead of teaching young women that they need to dress a certain way to prevent* boys and men from having impure thoughts, teach everyone to dress and act in a way that reflects who they are and the message they want to share with the world.
*expecting young women to try to control the thoughts around them is not only unfair but impossible, given that we were all given agency and therefore cannot control the thoughts or actions of others.
                   ",2022-01-10T21:50:03,2022-01,7,906,0,873,15,78,8,14
"convincing  consent 
                    ",2022-01-08T00:22:23,2022-01,32,1795,16,1709,50,172,5,97
"i said what i said  

**note: this is not referring to victims/survivors of sexual assault. these individuals are not responsible for their victimization. ever. 
                     ",2022-01-06T23:53:27,2022-01,62,2642,34,2528,57,193,13,73
"@drjuliehanks 
chastity is not just about religious youth abstaining from sex prior to marriage. 
                    ",2021-12-30T15:40:37,2021-12,7,739,0,739,4,56,4,6
"consent is an active agreement to participate. period. 
            ",2021-12-17T13:19:58,2021-12,11,551,0,520,8,86,9,33
